"edad_rango","educacion","rol","anos_codigo","usa_Python","usa_R","salario_usd"
"25-29","Bachelor's degree","Data Analyst","3-5 years",0,0,52000
"22-24","Master's degree","Data Analyst","10-20 years",1,0,52000
"55-59","Doctoral degree","ML Engineer","20+ years",1,1,98000
"35-39","Bachelor's degree","Data Analyst","3-5 years",0,1,92000
"45-49","Master's degree","Student","1-2 years",0,0,15000
"35-39","Doctoral degree","Research Scientist","1-2 years",1,1,
"30-34","Master's degree","Business Analyst","5-10 years",1,0,
"18-21","Some college/university study","Data Analyst","3-5 years",0,0,67000
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,0,84000
"35-39","Master's degree","Student","1-2 years",1,0,
"35-39","Professional degree","Software Engineer","1-2 years",1,0,62000
"18-21","Master's degree","ML Engineer","10-20 years",1,1,102000
"18-21","Master's degree","Data Scientist","5-10 years",1,1,256000
"25-29","Bachelor's degree","Student","3-5 years",0,0,15000
"30-34","Master's degree","Data Analyst","1-2 years",1,0,58000
"50-54","Bachelor's degree","Data Scientist","10-20 years",0,0,101000
"30-34","Bachelor's degree","Data Scientist","5-10 years",1,0,87000
"45-49","Bachelor's degree","Software Engineer","5-10 years",1,0,80000
"22-24","Master's degree","Research Scientist","20+ years",0,1,192000
"35-39","Bachelor's degree","Software Engineer","10-20 years",0,0,35000
"30-34","Master's degree","Data Engineer","3-5 years",1,0,243000
"25-29","Bachelor's degree","Other","3-5 years",1,0,130000
"25-29","Bachelor's degree","Data Engineer","1-2 years",1,0,59000
"30-34","Doctoral degree","Software Engineer","1-2 years",0,0,63000
"35-39","Bachelor's degree","Data Analyst","5-10 years",1,0,82000
"22-24","Some college/university study","Student","10-20 years",0,0,
"25-29","Master's degree","Student","5-10 years",1,0,
"60+","Doctoral degree","Student","1-2 years",0,0,5000
"25-29","Professional degree","Data Scientist","5-10 years",1,0,55000
"30-34","Bachelor's degree","Data Analyst","20+ years",1,0,
"22-24","Master's degree","ML Engineer","3-5 years",1,0,
"22-24","Doctoral degree","Statistician","1-2 years",0,1,58000
"18-21","Bachelor's degree","Data Scientist","20+ years",1,0,58000
"22-24","Master's degree","ML Engineer","5-10 years",1,1,138000
"22-24","Some college/university study","Data Scientist","10-20 years",1,0,
"25-29","Bachelor's degree","Other","1-2 years",1,0,63000
"25-29","Master's degree","Other","3-5 years",0,0,53000
"25-29","Bachelor's degree","Software Engineer","5-10 years",1,1,116000
"25-29","No formal education past high school","Data Scientist","3-5 years",1,1,66000
"40-44","Master's degree","Data Engineer","3-5 years",1,0,131000
"60+","Some college/university study","Software Engineer","3-5 years",0,0,107000
"40-44","Doctoral degree","Student","5-10 years",0,0,
"25-29","Master's degree","Software Engineer","3-5 years",0,1,59000
"25-29","Professional degree","ML Engineer","10-20 years",1,0,127000
"22-24","Master's degree","Data Analyst","< 1 year",1,0,33000
"30-34","Master's degree","Business Analyst","5-10 years",1,0,26000
"30-34","Master's degree","Student","1-2 years",0,1,10000
"22-24","Bachelor's degree","Data Analyst","10-20 years",0,0,63000
"22-24","Master's degree","Data Scientist","10-20 years",1,1,
"60+","Master's degree","Data Analyst","5-10 years",1,0,39000
"35-39","Master's degree","Software Engineer","5-10 years",1,0,60000
"55-59","Bachelor's degree","Data Scientist","20+ years",1,1,108000
"35-39","Bachelor's degree","Research Scientist","5-10 years",1,0,110000
"40-44","Master's degree","Student","3-5 years",1,1,
"40-44","Master's degree","Research Scientist","5-10 years",1,1,64000
"18-21","Bachelor's degree","Data Analyst","5-10 years",1,1,42000
"25-29","Bachelor's degree","Data Analyst","5-10 years",1,0,87000
"35-39","Bachelor's degree","Data Engineer","< 1 year",1,0,
"22-24","Master's degree","ML Engineer","5-10 years",1,0,171000
"30-34","Doctoral degree","Data Engineer","3-5 years",1,1,57000
"40-44","Doctoral degree","Business Analyst","20+ years",1,1,
"25-29","Master's degree","ML Engineer","5-10 years",1,0,109000
"18-21","Master's degree","ML Engineer","5-10 years",1,0,76000
"22-24","Bachelor's degree","Data Analyst","1-2 years",1,0,
"22-24","Bachelor's degree","Student","1-2 years",1,0,
"55-59","Master's degree","Business Analyst","< 1 year",1,0,51000
"40-44","Professional degree","Student","3-5 years",1,1,1500
"45-49","No formal education past high school","Student","< 1 year",1,0,
"22-24","Master's degree","Data Analyst","20+ years",1,0,59000
"25-29","Master's degree","ML Engineer","5-10 years",1,1,198000
"35-39","Doctoral degree","Research Scientist","10-20 years",0,0,132000
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,1,67000
"18-21","Some college/university study","Business Analyst","5-10 years",1,0,44000
"30-34","Master's degree","Data Engineer","3-5 years",1,0,84000
"50-54","Master's degree","Data Analyst","3-5 years",0,0,162000
"30-34","Bachelor's degree","Data Engineer","1-2 years",0,0,
"22-24","Bachelor's degree","Data Scientist","3-5 years",1,0,73000
"25-29","Master's degree","Data Scientist","20+ years",1,0,
"35-39","Master's degree","Student","3-5 years",1,0,20000
"25-29","Doctoral degree","Business Analyst","5-10 years",0,0,42000
"25-29","Master's degree","Software Engineer","5-10 years",0,0,107000
"25-29","Bachelor's degree","ML Engineer","< 1 year",1,1,250000
"25-29","Doctoral degree","Statistician","3-5 years",0,1,82000
"45-49","Doctoral degree","Student","3-5 years",1,0,
"22-24","Doctoral degree","ML Engineer","10-20 years",0,0,139000
"25-29","Bachelor's degree","ML Engineer","10-20 years",0,0,55000
"22-24","Doctoral degree","Data Engineer","10-20 years",1,0,232000
"45-49","Master's degree","ML Engineer","10-20 years",1,0,61000
"35-39","Master's degree","Data Scientist","5-10 years",1,1,122000
"25-29","Doctoral degree","Data Analyst","10-20 years",1,0,56000
"35-39","Doctoral degree","Other","1-2 years",0,0,76000
"35-39","Master's degree","Software Engineer","20+ years",0,0,91000
"40-44","Doctoral degree","Data Scientist","10-20 years",1,0,
"18-21","Bachelor's degree","Software Engineer","5-10 years",0,0,160000
"30-34","Bachelor's degree","Research Scientist","5-10 years",1,1,69000
"35-39","Some college/university study","Data Analyst","3-5 years",1,0,48000
"35-39","Doctoral degree","Data Engineer","10-20 years",1,0,109000
"45-49","Master's degree","ML Engineer","5-10 years",1,0,111000
"35-39","Bachelor's degree","Data Analyst","5-10 years",1,0,65000
"25-29","No formal education past high school","Student","5-10 years",1,0,
"18-21","Bachelor's degree","Data Engineer","1-2 years",1,0,92000
"35-39","No formal education past high school","Data Analyst","5-10 years",1,0,88000
"25-29","Bachelor's degree","Software Engineer","5-10 years",0,1,57000
"25-29","Master's degree","ML Engineer","10-20 years",1,0,
"50-54","Doctoral degree","Data Analyst","5-10 years",0,0,66000
"35-39","Master's degree","Data Analyst","10-20 years",0,0,
"30-34","Professional degree","Data Analyst","< 1 year",1,0,19000
"22-24","Bachelor's degree","Data Scientist","1-2 years",1,0,71000
"40-44","Bachelor's degree","Student","10-20 years",1,1,15000
"25-29","Master's degree","Business Analyst","10-20 years",1,1,52000
"25-29","Bachelor's degree","Statistician","3-5 years",0,1,163000
"18-21","Some college/university study","Data Engineer","3-5 years",1,1,142000
"45-49","Master's degree","Research Scientist","20+ years",0,1,41000
"40-44","Master's degree","Student","3-5 years",1,0,15000
"25-29","Master's degree","Student","3-5 years",1,0,1500
"30-34","Bachelor's degree","Research Scientist","3-5 years",0,0,94000
"50-54","Master's degree","Business Analyst","3-5 years",0,0,52000
"18-21","Bachelor's degree","Data Analyst","3-5 years",0,1,82000
"22-24","Master's degree","Research Scientist","< 1 year",1,0,
"22-24","Master's degree","Data Scientist","3-5 years",1,0,35000
"22-24","Some college/university study","Data Analyst","10-20 years",1,0,71000
"22-24","Master's degree","ML Engineer","3-5 years",1,0,162000
"25-29","Master's degree","Student","3-5 years",1,0,5000
"22-24","Doctoral degree","Student","10-20 years",1,0,
"35-39","Master's degree","Software Engineer","10-20 years",0,1,174000
"22-24","Bachelor's degree","Statistician","10-20 years",0,1,102000
"30-34","Master's degree","Data Engineer","1-2 years",1,1,65000
"45-49","Bachelor's degree","Data Scientist","5-10 years",1,1,154000
"50-54","Master's degree","Research Scientist","3-5 years",0,1,66000
"60+","Master's degree","Student","< 1 year",1,0,10000
"40-44","Bachelor's degree","Business Analyst","10-20 years",1,0,55000
"30-34","Bachelor's degree","Software Engineer","< 1 year",1,1,
"45-49","Bachelor's degree","Business Analyst","3-5 years",1,1,62000
"40-44","Master's degree","Data Scientist","3-5 years",1,1,74000
"35-39","Bachelor's degree","Business Analyst","3-5 years",0,0,77000
"22-24","Bachelor's degree","Statistician","1-2 years",1,1,
"22-24","Bachelor's degree","Data Scientist","5-10 years",1,0,65000
"35-39","No formal education past high school","Data Scientist","1-2 years",1,1,
"22-24","Master's degree","Business Analyst","10-20 years",0,0,84000
"40-44","Bachelor's degree","Research Scientist","5-10 years",1,0,60000
"50-54","Some college/university study","Statistician","< 1 year",0,1,
"50-54","Master's degree","ML Engineer","3-5 years",1,1,259000
"35-39","Master's degree","Student","5-10 years",1,0,
"35-39","No formal education past high school","Data Scientist","5-10 years",1,1,77000
"50-54","Doctoral degree","ML Engineer","< 1 year",1,0,137000
"25-29","No formal education past high school","Data Scientist","20+ years",1,1,160000
"22-24","Master's degree","Data Analyst","5-10 years",1,0,
"25-29","Some college/university study","ML Engineer","20+ years",1,0,90000
"25-29","Master's degree","Student","3-5 years",1,0,1500
"45-49","Bachelor's degree","Data Scientist","< 1 year",1,0,147000
"18-21","Doctoral degree","Research Scientist","1-2 years",1,0,104000
"25-29","Some college/university study","Statistician","5-10 years",1,1,113000
"50-54","Bachelor's degree","Data Engineer","1-2 years",0,0,76000
"25-29","Doctoral degree","Data Scientist","1-2 years",1,1,166000
"50-54","Master's degree","Student","5-10 years",1,0,
"22-24","Doctoral degree","Other","5-10 years",1,0,
"18-21","Bachelor's degree","Data Engineer","10-20 years",1,0,
"22-24","Master's degree","Business Analyst","3-5 years",0,0,71000
"22-24","Master's degree","Research Scientist","10-20 years",1,1,78000
"18-21","Some college/university study","Software Engineer","20+ years",0,0,45000
"30-34","Professional degree","Data Engineer","< 1 year",1,0,146000
"35-39","Master's degree","Data Scientist","5-10 years",1,0,145000
"35-39","Doctoral degree","Student","3-5 years",1,0,10000
"30-34","Doctoral degree","ML Engineer","3-5 years",0,0,151000
"35-39","Bachelor's degree","Statistician","5-10 years",1,1,113000
"35-39","Master's degree","Student","1-2 years",1,0,10000
"30-34","Doctoral degree","Data Scientist","5-10 years",1,0,44000
"18-21","Bachelor's degree","Software Engineer","5-10 years",0,0,117000
"25-29","Some college/university study","Business Analyst","5-10 years",1,1,65000
"18-21","Bachelor's degree","Student","1-2 years",1,0,
"18-21","Bachelor's degree","Other","5-10 years",0,0,85000
"18-21","Master's degree","Data Scientist","1-2 years",1,0,
"35-39","Bachelor's degree","Student","3-5 years",1,0,
"30-34","Doctoral degree","Data Scientist","10-20 years",1,0,
"35-39","Master's degree","Software Engineer","1-2 years",0,0,92000
"30-34","Master's degree","Data Scientist","1-2 years",1,1,99000
"35-39","Bachelor's degree","Research Scientist","5-10 years",0,1,54000
"45-49","Some college/university study","Software Engineer","3-5 years",0,0,113000
"50-54","Bachelor's degree","Student","3-5 years",1,0,10000
"30-34","Bachelor's degree","Research Scientist","1-2 years",1,0,108000
"30-34","Master's degree","Data Engineer","1-2 years",1,0,124000
"25-29","Doctoral degree","ML Engineer","10-20 years",1,0,
"18-21","Some college/university study","Data Scientist","10-20 years",1,0,109000
"30-34","Bachelor's degree","Student","5-10 years",1,0,20000
"40-44","Master's degree","Software Engineer","3-5 years",1,0,101000
"25-29","Master's degree","Software Engineer","5-10 years",0,0,122000
"22-24","Bachelor's degree","Student","10-20 years",1,1,
"50-54","Doctoral degree","Other","< 1 year",1,0,82000
"22-24","Bachelor's degree","Student","5-10 years",1,0,
"25-29","Bachelor's degree","Data Scientist","10-20 years",1,0,138000
"22-24","Bachelor's degree","Software Engineer","10-20 years",1,0,106000
"30-34","Master's degree","Student","1-2 years",1,0,
"30-34","Master's degree","Software Engineer","1-2 years",1,0,151000
"50-54","Bachelor's degree","Data Analyst","5-10 years",1,0,51000
"25-29","Bachelor's degree","Student","10-20 years",0,0,
"25-29","Bachelor's degree","Data Scientist","1-2 years",1,1,63000
"30-34","Bachelor's degree","Student","3-5 years",1,0,
"25-29","Doctoral degree","Student","5-10 years",1,0,
"25-29","Master's degree","Research Scientist","5-10 years",0,1,266000
"25-29","Bachelor's degree","Software Engineer","5-10 years",1,0,
"35-39","No formal education past high school","Business Analyst","20+ years",0,0,103000
"35-39","Bachelor's degree","Data Analyst","3-5 years",0,0,33000
"35-39","Master's degree","Student","< 1 year",0,0,
"40-44","Master's degree","Software Engineer","3-5 years",1,0,96000
"25-29","Bachelor's degree","Student","< 1 year",0,0,
"55-59","Bachelor's degree","Data Scientist","10-20 years",1,0,111000
"35-39","Bachelor's degree","Software Engineer","5-10 years",0,0,166000
"55-59","Bachelor's degree","Data Scientist","1-2 years",1,0,84000
"30-34","Bachelor's degree","Other","5-10 years",1,0,92000
"22-24","Doctoral degree","Data Scientist","10-20 years",1,1,
"45-49","Bachelor's degree","ML Engineer","1-2 years",1,0,127000
"18-21","Master's degree","Software Engineer","3-5 years",1,0,49000
"25-29","Master's degree","Software Engineer","10-20 years",1,0,176000
"50-54","Master's degree","Data Analyst","< 1 year",1,0,51000
"35-39","Some college/university study","Business Analyst","5-10 years",1,0,52000
"30-34","Bachelor's degree","Data Analyst","1-2 years",1,0,75000
"35-39","Professional degree","Data Scientist","< 1 year",1,1,
"35-39","Master's degree","Software Engineer","3-5 years",1,0,114000
"30-34","Master's degree","Student","3-5 years",1,0,1500
"45-49","Some college/university study","Data Scientist","1-2 years",1,0,124000
"22-24","Bachelor's degree","Data Scientist","< 1 year",1,0,
"40-44","Doctoral degree","Data Analyst","< 1 year",1,0,55000
"22-24","Bachelor's degree","Research Scientist","5-10 years",1,1,38000
"18-21","Bachelor's degree","Data Scientist","20+ years",1,1,75000
"30-34","Master's degree","ML Engineer","5-10 years",1,1,80000
"22-24","Some college/university study","Data Scientist","3-5 years",1,0,77000
"25-29","Bachelor's degree","Data Scientist","< 1 year",1,1,74000
"35-39","Bachelor's degree","Student","3-5 years",0,1,
"35-39","Bachelor's degree","Data Scientist","3-5 years",1,1,130000
"25-29","Doctoral degree","Software Engineer","< 1 year",0,0,101000
"35-39","Master's degree","Software Engineer","3-5 years",0,0,79000
"22-24","Master's degree","ML Engineer","3-5 years",1,0,
"30-34","Bachelor's degree","Data Analyst","10-20 years",0,0,40000
"22-24","Bachelor's degree","Software Engineer","3-5 years",1,0,66000
"35-39","Master's degree","Data Scientist","10-20 years",1,1,108000
"30-34","No formal education past high school","Data Analyst","20+ years",1,0,60000
"18-21","Master's degree","Data Scientist","5-10 years",1,0,125000
"40-44","Master's degree","Student","< 1 year",1,0,20000
"45-49","Some college/university study","Data Scientist","< 1 year",1,0,98000
"55-59","Master's degree","Software Engineer","1-2 years",1,0,78000
"35-39","Some college/university study","Data Analyst","3-5 years",1,0,69000
"40-44","Master's degree","Data Analyst","1-2 years",0,0,117000
"25-29","Doctoral degree","Statistician","10-20 years",0,0,45000
"30-34","Professional degree","Software Engineer","1-2 years",1,1,
"18-21","No formal education past high school","Data Scientist","5-10 years",1,1,89000
"25-29","Master's degree","Student","20+ years",0,0,
"22-24","Master's degree","Data Analyst","5-10 years",1,0,39000
"35-39","Doctoral degree","Software Engineer","10-20 years",1,1,188000
"25-29","No formal education past high school","Data Analyst","20+ years",1,0,64000
"30-34","Bachelor's degree","Software Engineer","1-2 years",1,0,76000
"18-21","Master's degree","Software Engineer","3-5 years",1,0,86000
"40-44","Professional degree","Research Scientist","10-20 years",0,1,43000
"25-29","Doctoral degree","ML Engineer","< 1 year",1,0,1e+05
"22-24","Some college/university study","Statistician","3-5 years",0,1,
"22-24","Master's degree","Student","10-20 years",1,0,
"45-49","Master's degree","Other","5-10 years",1,1,102000
"50-54","Professional degree","Student","3-5 years",0,0,5000
"18-21","Doctoral degree","ML Engineer","20+ years",0,0,43000
"25-29","Master's degree","Other","10-20 years",1,1,75000
"30-34","Bachelor's degree","Data Analyst","5-10 years",1,0,36000
"25-29","Doctoral degree","Statistician","3-5 years",1,1,112000
"45-49","Master's degree","Research Scientist","3-5 years",1,1,85000
"18-21","Doctoral degree","Data Analyst","1-2 years",0,1,88000
"25-29","Bachelor's degree","Other","10-20 years",1,0,66000
"45-49","Master's degree","Data Scientist","3-5 years",1,1,227000
"22-24","Master's degree","Data Analyst","1-2 years",0,0,
"22-24","Bachelor's degree","Data Analyst","10-20 years",1,0,39000
"25-29","Bachelor's degree","Statistician","< 1 year",0,1,47000
"25-29","Doctoral degree","Data Scientist","20+ years",0,0,56000
"22-24","Master's degree","Research Scientist","3-5 years",1,1,62000
"30-34","Bachelor's degree","Software Engineer","1-2 years",1,0,98000
"22-24","Master's degree","Business Analyst","3-5 years",1,0,31000
"25-29","Master's degree","Software Engineer","5-10 years",0,0,64000
"45-49","Master's degree","Data Analyst","5-10 years",0,0,38000
"22-24","Some college/university study","Student","< 1 year",1,0,
"22-24","Bachelor's degree","Data Analyst","5-10 years",1,0,35000
"40-44","Master's degree","Student","1-2 years",1,0,10000
"18-21","Bachelor's degree","ML Engineer","1-2 years",1,0,
"18-21","Master's degree","Data Scientist","1-2 years",1,1,58000
"40-44","Some college/university study","Data Analyst","< 1 year",1,0,78000
"22-24","No formal education past high school","Data Scientist","< 1 year",1,0,130000
"22-24","Doctoral degree","ML Engineer","5-10 years",1,0,52000
"40-44","Bachelor's degree","Software Engineer","5-10 years",0,1,90000
"35-39","Master's degree","Software Engineer","3-5 years",0,0,79000
"45-49","Master's degree","Data Scientist","< 1 year",1,1,39000
"22-24","Some college/university study","Software Engineer","3-5 years",1,0,101000
"22-24","Master's degree","Research Scientist","1-2 years",1,0,63000
"35-39","Master's degree","Data Analyst","1-2 years",1,0,103000
"50-54","Master's degree","Student","3-5 years",1,1,
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,0,131000
"18-21","Bachelor's degree","Data Scientist","< 1 year",1,0,
"25-29","Bachelor's degree","Data Engineer","10-20 years",1,0,
"40-44","Bachelor's degree","Business Analyst","< 1 year",1,1,86000
"30-34","Master's degree","Research Scientist","3-5 years",1,0,99000
"25-29","Some college/university study","Software Engineer","< 1 year",1,0,29000
"18-21","Professional degree","Student","5-10 years",1,0,
"22-24","Bachelor's degree","ML Engineer","3-5 years",1,1,132000
"40-44","Master's degree","Data Engineer","5-10 years",1,0,149000
"55-59","Bachelor's degree","Software Engineer","10-20 years",0,0,52000
"45-49","Bachelor's degree","Business Analyst","3-5 years",1,1,43000
"30-34","Master's degree","Software Engineer","5-10 years",1,0,67000
"25-29","Master's degree","Data Analyst","1-2 years",0,0,99000
"45-49","Bachelor's degree","Student","< 1 year",1,0,
"30-34","Master's degree","Data Analyst","10-20 years",1,0,153000
"25-29","Doctoral degree","Data Engineer","3-5 years",1,0,82000
"22-24","Bachelor's degree","Data Engineer","1-2 years",1,1,
"22-24","Bachelor's degree","Student","3-5 years",0,1,1500
"22-24","Master's degree","Data Scientist","10-20 years",1,1,
"22-24","Doctoral degree","Software Engineer","20+ years",1,0,97000
"22-24","No formal education past high school","Data Analyst","10-20 years",1,1,82000
"18-21","Some college/university study","Data Scientist","5-10 years",0,0,72000
"50-54","Master's degree","Data Scientist","3-5 years",1,0,
"25-29","Bachelor's degree","Other","5-10 years",1,0,108000
"18-21","Master's degree","Other","< 1 year",1,0,52000
"35-39","Bachelor's degree","ML Engineer","5-10 years",1,1,210000
"30-34","Master's degree","Research Scientist","1-2 years",1,0,
"30-34","Master's degree","Student","10-20 years",1,0,
"18-21","Bachelor's degree","Data Engineer","5-10 years",1,0,50000
"30-34","Bachelor's degree","Data Scientist","5-10 years",1,0,73000
"18-21","Bachelor's degree","Student","1-2 years",1,0,
"25-29","Bachelor's degree","Data Scientist","5-10 years",1,1,70000
"18-21","Master's degree","Data Scientist","3-5 years",1,1,56000
"22-24","Some college/university study","Data Scientist","1-2 years",1,0,32000
"25-29","Doctoral degree","Data Scientist","< 1 year",1,0,132000
"18-21","Master's degree","Data Engineer","< 1 year",1,0,124000
"30-34","Bachelor's degree","Research Scientist","< 1 year",1,1,136000
"40-44","Some college/university study","Business Analyst","3-5 years",1,0,39000
"22-24","Master's degree","Data Analyst","3-5 years",1,1,34000
"18-21","Bachelor's degree","Software Engineer","5-10 years",1,0,70000
"22-24","Bachelor's degree","Data Analyst","3-5 years",1,0,62000
"25-29","Master's degree","Data Analyst","1-2 years",0,0,
"45-49","Master's degree","Data Scientist","5-10 years",1,0,89000
"40-44","Professional degree","Business Analyst","3-5 years",1,0,139000
"55-59","Bachelor's degree","Student","3-5 years",1,1,1500
"30-34","Master's degree","Research Scientist","5-10 years",0,0,104000
"25-29","Master's degree","ML Engineer","5-10 years",0,0,101000
"22-24","Doctoral degree","ML Engineer","1-2 years",1,0,81000
"50-54","Bachelor's degree","Data Analyst","3-5 years",0,0,63000
"18-21","Bachelor's degree","Data Scientist","10-20 years",1,0,148000
"25-29","Master's degree","Business Analyst","5-10 years",1,1,147000
"18-21","Master's degree","Student","3-5 years",0,0,1500
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,0,88000
"18-21","Master's degree","Business Analyst","< 1 year",1,1,
"22-24","No formal education past high school","Research Scientist","10-20 years",0,1,73000
"25-29","Doctoral degree","Data Scientist","1-2 years",1,1,70000
"25-29","Professional degree","Business Analyst","5-10 years",0,0,
"50-54","Master's degree","Student","5-10 years",1,0,
"35-39","Bachelor's degree","Data Analyst","5-10 years",1,0,27000
"50-54","Master's degree","ML Engineer","1-2 years",1,0,119000
"30-34","Master's degree","Data Scientist","< 1 year",1,0,115000
"45-49","Doctoral degree","Data Scientist","1-2 years",1,0,91000
"60+","Some college/university study","Data Scientist","10-20 years",1,1,109000
"22-24","Master's degree","Data Engineer","1-2 years",1,0,
"35-39","Master's degree","Student","5-10 years",0,0,
"25-29","Bachelor's degree","Student","3-5 years",1,0,10000
"35-39","Some college/university study","Data Scientist","1-2 years",1,1,126000
"25-29","Bachelor's degree","Software Engineer","3-5 years",1,0,213000
"22-24","Professional degree","Student","10-20 years",0,0,
"22-24","Professional degree","Data Analyst","5-10 years",0,0,42000
"40-44","Bachelor's degree","Business Analyst","5-10 years",1,0,33000
"18-21","Bachelor's degree","Business Analyst","1-2 years",1,0,59000
"35-39","Master's degree","Software Engineer","5-10 years",1,0,72000
"30-34","Bachelor's degree","Software Engineer","1-2 years",1,0,37000
"30-34","Master's degree","Software Engineer","5-10 years",1,0,75000
"18-21","Doctoral degree","Student","1-2 years",0,0,
"35-39","Professional degree","Data Scientist","5-10 years",1,0,140000
"30-34","Master's degree","Software Engineer","< 1 year",0,1,130000
"25-29","Doctoral degree","Data Scientist","10-20 years",1,0,109000
"22-24","Doctoral degree","Data Scientist","20+ years",1,0,49000
"35-39","Bachelor's degree","Research Scientist","3-5 years",0,0,45000
"25-29","Master's degree","Software Engineer","3-5 years",1,0,54000
"30-34","Master's degree","Student","< 1 year",1,0,
"35-39","Master's degree","ML Engineer","3-5 years",1,0,
"35-39","Bachelor's degree","Data Scientist","1-2 years",1,0,109000
"18-21","Master's degree","Software Engineer","5-10 years",0,0,89000
"40-44","Bachelor's degree","Business Analyst","5-10 years",1,0,45000
"25-29","Bachelor's degree","Data Scientist","5-10 years",1,0,
"35-39","Doctoral degree","Student","3-5 years",0,1,
"30-34","Some college/university study","Research Scientist","5-10 years",1,1,42000
"22-24","Bachelor's degree","Research Scientist","5-10 years",0,1,54000
"22-24","Bachelor's degree","Software Engineer","3-5 years",1,0,90000
"30-34","Doctoral degree","Data Engineer","3-5 years",1,0,118000
"50-54","Bachelor's degree","Student","5-10 years",1,1,
"18-21","Doctoral degree","Student","1-2 years",1,0,5000
"22-24","Master's degree","ML Engineer","1-2 years",1,0,57000
"25-29","Professional degree","Student","3-5 years",1,0,
"30-34","Master's degree","Data Scientist","10-20 years",1,0,124000
"25-29","Master's degree","Statistician","5-10 years",0,0,89000
"22-24","Professional degree","Student","1-2 years",0,0,
"50-54","Bachelor's degree","Statistician","1-2 years",1,1,44000
"35-39","Doctoral degree","Student","3-5 years",1,1,10000
"22-24","Master's degree","Data Analyst","1-2 years",1,0,52000
"35-39","Bachelor's degree","Other","3-5 years",1,0,29000
"22-24","Bachelor's degree","ML Engineer","20+ years",1,1,
"50-54","Bachelor's degree","ML Engineer","3-5 years",1,0,74000
"40-44","Doctoral degree","Data Analyst","1-2 years",1,0,53000
"30-34","Master's degree","Data Scientist","3-5 years",1,0,
"22-24","Master's degree","Data Scientist","3-5 years",1,0,64000
"25-29","Master's degree","Software Engineer","< 1 year",0,1,55000
"25-29","Bachelor's degree","Student","20+ years",0,0,
"22-24","Master's degree","Software Engineer","20+ years",0,1,137000
"18-21","Bachelor's degree","Data Analyst","3-5 years",0,0,57000
"18-21","Master's degree","Other","< 1 year",0,1,47000
"18-21","Master's degree","Statistician","5-10 years",1,1,95000
"25-29","Master's degree","Other","5-10 years",0,0,24000
"25-29","Doctoral degree","Data Analyst","< 1 year",0,0,
"22-24","Doctoral degree","Data Analyst","20+ years",0,0,91000
"25-29","Some college/university study","Data Scientist","5-10 years",1,1,98000
"30-34","Master's degree","Business Analyst","1-2 years",1,1,45000
"35-39","Bachelor's degree","Data Scientist","3-5 years",1,0,51000
"18-21","Master's degree","Data Scientist","5-10 years",1,1,
"18-21","Bachelor's degree","Software Engineer","< 1 year",0,0,56000
"30-34","Master's degree","Software Engineer","3-5 years",1,0,82000
"18-21","Master's degree","Data Scientist","1-2 years",1,0,128000
"22-24","Doctoral degree","ML Engineer","5-10 years",1,0,88000
"25-29","Doctoral degree","Student","1-2 years",1,0,
"45-49","Master's degree","Software Engineer","3-5 years",1,0,84000
"25-29","Bachelor's degree","Student","1-2 years",1,1,
"35-39","Bachelor's degree","Data Scientist","10-20 years",0,1,50000
"25-29","No formal education past high school","ML Engineer","10-20 years",1,0,106000
"50-54","Bachelor's degree","Data Scientist","3-5 years",1,1,
"30-34","Doctoral degree","Data Analyst","< 1 year",0,0,39000
"35-39","Master's degree","Data Analyst","5-10 years",1,0,46000
"22-24","Some college/university study","Data Scientist","1-2 years",1,0,159000
"30-34","Bachelor's degree","Student","< 1 year",0,0,
"55-59","Master's degree","Student","1-2 years",1,0,10000
"30-34","Master's degree","Software Engineer","10-20 years",1,0,134000
"40-44","Some college/university study","ML Engineer","5-10 years",1,0,62000
"25-29","Bachelor's degree","Student","1-2 years",0,1,
"18-21","Doctoral degree","Software Engineer","3-5 years",1,0,109000
"22-24","Master's degree","Student","20+ years",1,0,
"35-39","Professional degree","Data Engineer","3-5 years",1,1,115000
"40-44","Bachelor's degree","Data Analyst","1-2 years",1,0,55000
"35-39","Master's degree","Data Analyst","1-2 years",0,0,
"18-21","Bachelor's degree","Research Scientist","1-2 years",0,1,159000
"25-29","Bachelor's degree","Research Scientist","3-5 years",0,1,109000
"22-24","Master's degree","Data Analyst","20+ years",0,1,57000
"18-21","Some college/university study","Data Scientist","< 1 year",1,0,136000
"25-29","Master's degree","Data Engineer","1-2 years",1,0,59000
"22-24","Doctoral degree","Business Analyst","3-5 years",0,0,64000
"25-29","Doctoral degree","Business Analyst","1-2 years",0,1,55000
"30-34","Bachelor's degree","Research Scientist","5-10 years",0,0,54000
"25-29","Master's degree","Business Analyst","1-2 years",1,0,59000
"22-24","Master's degree","ML Engineer","10-20 years",1,0,116000
"22-24","Master's degree","Research Scientist","3-5 years",0,1,30000
"30-34","Some college/university study","Data Scientist","5-10 years",1,0,66000
"30-34","Professional degree","Software Engineer","1-2 years",1,0,31000
"30-34","Bachelor's degree","Data Scientist","10-20 years",1,0,59000
"25-29","Bachelor's degree","Data Engineer","1-2 years",1,0,36000
